	user_iduser_id	YoB	grade	neventsuser_id	ndays_act	nplay_video	nforum_postsuser_id	nforum_endorsed	nforum_threadsuser_id	nforum_comments	ntranscriptuser_id	nshow_answer	nvideo	nseq_gotouser_id	nseek_videouser_id	npause_videouser_id	avg_dtuser_id	sdv_dtuser_id	max_dtuser_id	n_dt	sum_dtuser_id	isstaff	user_iduser_id	neventsuser_id	nplayvideo	ntranscriptuser_id	nseq_gotouser_id	nseek_videouser_id	npause_videouser_id	nvideos_viewed	nvideos_watched_sec	nforum_reads	nforum_postsuser_id	nforum_threadsuser_id	avg_dtuser_id	sdv_dtuser_id	max_dtuser_id	sum_dtuser_id	nproblems_attempted	nproblems_answered
18	5363	1981.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	1287.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	10.116058869937698	10.221360234149918	32.132481	12989.019589000005	0	0
19	3119	0.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	64.0	4.0	0.0	12.0	0.0	2.0	2	13.656235	0	0	0	12.311666475409837	42.133121181023625	281.79397400000005	751.011655	0	0
20	3332	1995.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	4.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	1.2042895	1.1580535242865504	2.023157	2.408579	0	0
21	4070	1998.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	4489	24.0	2.0	0.0	6.0	0.0	1.0	1	3.424943	0	0	0	17.574389826086954	31.320864786025425	133.115692	404.21096599999987	0	0
22	6133	1988.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	34.0	7.0	0.0	0.0	1.0	2.0	3	216.96825299999998	0	0	0	17.43703815625	43.31463621993822	203.057106	557.985221	0	0
23	3713	0.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	12.0	0.0	0.0	2.0	0.0	0.0	0	0.0	0	0	0	3.0937775000000003	3.151512189857796	9.127182000000001	30.937775	0	0
24	5976	1974.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	60.0	19.0	0.0	0.0	7.0	6.0	4	684.149748	0	0	0	12.382025949152537	39.19869444989702	277.301908	730.5395309999997	0	0
25	5779	1994.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	292	21.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	37.864139444444454	66.99006808744689	249.42749500000002	681.5545099999999	0	0
26	4328	1997.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	4489	16.0	0.0	0.0	4.0	0.0	0.0	0	0.0	0	0	0	10.975744571428573	23.40510312120577	89.967637	153.660424	0	0
27	5719	1990.0	0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	2027	19.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	3.5485941176470583	4.016685439972037	10.170925	60.3261	0	0
